x,y,b,r
81.0,1007.0,52.68,2.8284271247461903
1288.0,32.0,50.52,2.8284271247461903
1682.0,628.0,50.08,2.8284271247461903
1507.0,872.0,49.12,2.8284271247461903
457.0,143.0,52.32,2.8284271247461903
804.0,1001.0,49.96,2.8284271247461903
1660.0,947.0,49.8,2.8284271247461903
1030.0,843.0,50.16,2.8284271247461903
2023.0,933.0,49.36,2.8284271247461903
1332.0,393.0,50.24,2.8284271247461903
37.0,779.0,50.84,2.8284271247461903
1352.0,330.0,49.24,2.8284271247461903
1288.0,248.0,49.28,2.8284271247461903
1109.0,618.0,48.72,2.8284271247461903
474.0,183.0,49.24,2.8284271247461903
1556.0,834.0,48.72,2.8284271247461903
1177.0,380.0,48.0,2.8284271247461903
1022.0,891.0,47.36,2.8284271247461903
583.0,1018.0,48.64,2.8284271247461903
644.0,902.0,48.52,2.8284271247461903
1846.0,947.0,57.2,2.8284271247461903
1403.0,80.0,46.68,2.8284271247461903
1887.0,347.0,48.4,2.8284271247461903
1228.0,648.0,47.4,2.8284271247461903
524.0,1057.0,48.16,2.8284271247461903
228.0,1164.0,49.32,2.8284271247461903
394.0,242.0,46.0,2.8284271247461903
2067.0,371.0,46.96,2.8284271247461903
584.0,68.0,47.28,2.8284271247461903
69.0,1048.0,50.24,2.8284271247461903
678.0,606.0,47.04,2.8284271247461903
1626.0,618.0,46.48,2.8284271247461903
1357.0,978.0,45.44,2.8284271247461903
443.0,448.0,46.24,2.8284271247461903
386.0,319.0,44.76,2.8284271247461903
141.0,544.0,46.0,2.8284271247461903
468.0,803.0,44.6,2.8284271247461903
1292.0,418.0,45.32,2.8284271247461903
433.0,189.0,45.52,2.8284271247461903
393.0,582.0,44.48,2.8284271247461903
497.0,628.0,45.48,2.8284271247461903
877.0,641.0,44.88,2.8284271247461903
1021.0,178.0,44.16,2.8284271247461903
775.0,529.0,44.36,2.8284271247461903
778.0,962.0,45.52,2.8284271247461903
572.0,667.0,44.88,2.8284271247461903
332.0,380.0,44.64,2.8284271247461903
614.0,514.0,44.44,2.8284271247461903
90.0,983.0,47.8,2.8284271247461903
801.0,318.0,44.6,2.8284271247461903
377.0,63.0,44.52,2.8284271247461903
924.0,302.0,43.84,2.8284271247461903
1718.0,730.0,43.64,2.8284271247461903
1829.0,899.0,44.4,2.8284271247461903
1951.0,1178.0,44.16,2.8284271247461903
1816.0,113.0,43.44,2.8284271247461903
653.0,1048.0,44.28,2.8284271247461903
1390.0,947.0,43.12,2.8284271247461903
1173.0,63.0,44.44,2.8284271247461903
1795.0,765.0,44.04,2.8284271247461903
1851.0,293.0,43.72,2.8284271247461903
1670.0,313.0,43.4,2.8284271247461903
1104.0,1028.0,43.32,2.8284271247461903
158.0,159.0,43.6,2.8284271247461903
178.0,570.0,44.56,2.8284271247461903
1026.0,826.0,43.04,2.8284271247461903
711.0,968.0,42.92,2.8284271247461903
105.0,283.0,46.12,2.8284271247461903
716.0,679.0,42.96,2.8284271247461903
747.0,619.0,42.64,2.8284271247461903
1269.0,176.0,42.2,2.8284271247461903
314.0,104.0,42.4,2.8284271247461903
1501.0,551.0,42.48,2.8284271247461903
530.0,967.0,42.2,2.8284271247461903
1913.0,332.0,42.2,2.8284271247461903
1111.0,752.0,42.44,2.8284271247461903
795.0,661.0,41.84,2.8284271247461903
1951.0,327.0,40.68,2.8284271247461903
977.0,728.0,41.08,2.8284271247461903
763.0,100.0,41.48,2.8284271247461903
1749.0,805.0,41.24,2.8284271247461903
1798.0,376.0,40.72,2.8284271247461903
493.0,691.0,40.56,2.8284271247461903
423.0,623.0,39.92,2.8284271247461903
1206.0,472.0,40.08,2.8284271247461903
1395.0,1057.0,40.4,2.8284271247461903
1253.0,696.0,40.44,2.8284271247461903
1108.0,1199.0,40.36,2.8284271247461903
1217.0,641.0,39.72,2.8284271247461903
1289.0,677.0,40.32,2.8284271247461903
1066.0,894.0,39.84,2.8284271247461903
523.0,925.0,40.4,2.8284271247461903
657.0,468.0,40.2,2.8284271247461903
1059.0,1158.0,40.28,2.8284271247461903
906.0,960.0,39.48,2.8284271247461903
811.0,410.0,40.12,2.8284271247461903
1606.0,329.0,43.72,2.8284271247461903
1807.0,1209.0,40.0,2.8284271247461903
1796.0,612.0,39.32,2.8284271247461903
431.0,1011.0,39.72,2.8284271247461903
2026.0,849.0,38.16,2.8284271247461903
1396.0,722.0,39.08,2.8284271247461903
257.0,947.0,40.28,2.8284271247461903
1467.0,739.0,39.32,2.8284271247461903
379.0,915.0,38.44,2.8284271247461903
815.0,682.0,38.64,2.8284271247461903
34.0,1122.0,41.88,2.8284271247461903
1983.0,335.0,39.2,2.8284271247461903
328.0,143.0,38.72,2.8284271247461903
662.0,490.0,38.4,2.8284271247461903
496.0,446.0,38.76,2.8284271247461903
30.0,1113.0,42.44,2.8284271247461903
18.0,711.0,41.68,2.8284271247461903
410.0,651.0,38.88,2.8284271247461903
1868.0,701.0,38.4,2.8284271247461903
1929.0,1061.0,38.76,2.8284271247461903
380.0,1041.0,39.32,2.8284271247461903
1140.0,1167.0,38.68,2.8284271247461903
1480.0,1120.0,38.04,2.8284271247461903
1619.0,874.0,38.68,2.8284271247461903
1940.0,864.0,38.4,2.8284271247461903
1053.0,539.0,38.68,2.8284271247461903
412.0,1027.0,39.08,2.8284271247461903
1819.0,1171.0,37.64,2.8284271247461903
1640.0,274.0,38.28,2.8284271247461903
1997.0,390.0,38.12,2.8284271247461903
577.0,252.0,37.44,2.8284271247461903
622.0,416.0,37.48,2.8284271247461903
352.0,857.0,37.96,2.8284271247461903
145.0,697.0,39.44,2.8284271247461903
256.0,221.0,37.2,2.8284271247461903
2068.0,980.0,37.88,2.8284271247461903
1397.0,957.0,37.64,2.8284271247461903
1080.0,365.0,37.32,2.8284271247461903
1501.0,663.0,37.12,2.8284271247461903
1641.0,930.0,37.0,2.8284271247461903
1742.0,1124.0,38.0,2.8284271247461903
240.0,1081.0,38.84,2.8284271247461903
2021.0,491.0,37.16,2.8284271247461903
22.0,1039.0,38.56,2.8284271247461903
886.0,81.0,36.88,2.8284271247461903
1216.0,983.0,37.12,2.8284271247461903
479.0,778.0,37.04,2.8284271247461903
1714.0,1106.0,36.56,2.8284271247461903
996.0,686.0,37.92,2.8284271247461903
1927.0,967.0,37.24,2.8284271247461903
338.0,1090.0,37.52,2.8284271247461903
1573.0,604.0,36.48,2.8284271247461903
709.0,843.0,36.4,2.8284271247461903
380.0,94.0,36.6,2.8284271247461903
607.0,1114.0,37.28,2.8284271247461903
1113.0,552.0,36.48,2.8284271247461903
1048.0,590.0,36.6,2.8284271247461903
981.0,790.0,36.72,2.8284271247461903
545.0,947.0,37.04,2.8284271247461903
409.0,827.0,36.64,2.8284271247461903
1929.0,1206.0,36.8,2.8284271247461903
488.0,83.0,36.2,2.8284271247461903
855.0,577.0,36.32,2.8284271247461903
1328.0,916.0,36.36,2.8284271247461903
1558.0,155.0,36.6,2.8284271247461903
1701.0,555.0,35.92,2.8284271247461903
939.0,430.0,35.72,2.8284271247461903
750.0,556.0,35.6,2.8284271247461903
1989.0,287.0,36.48,2.8284271247461903
294.0,823.0,36.44,2.8284271247461903
782.0,879.0,35.56,2.8284271247461903
1341.0,478.0,36.32,2.8284271247461903
1663.0,1097.0,36.24,2.8284271247461903
2022.0,1126.0,35.92,2.8284271247461903
96.0,704.0,38.68,2.8284271247461903
1656.0,1179.0,35.72,2.8284271247461903
569.0,836.0,36.32,2.8284271247461903
1797.0,1201.0,35.68,2.8284271247461903
1239.0,1114.0,36.16,2.8284271247461903
1275.0,384.0,35.48,2.8284271247461903
1048.0,357.0,36.76,2.8284271247461903
36.0,520.0,38.0,2.8284271247461903
571.0,989.0,35.96,2.8284271247461903
906.0,225.0,35.8,2.8284271247461903
1560.0,839.0,38.12,2.8284271247461903
956.0,894.0,34.92,2.8284271247461903
992.0,52.0,34.88,2.8284271247461903
777.0,684.0,35.48,2.8284271247461903
758.0,866.0,35.44,2.8284271247461903
1688.0,294.0,34.96,2.8284271247461903
619.0,277.0,34.96,2.8284271247461903
750.0,1084.0,35.2,2.8284271247461903
1029.0,521.0,34.96,2.8284271247461903
739.0,396.0,35.2,2.8284271247461903
442.0,252.0,34.6,2.8284271247461903
1989.0,1114.0,34.56,2.8284271247461903
1383.0,909.0,35.96,2.8284271247461903
1184.0,1023.0,34.76,2.8284271247461903
553.0,71.0,35.28,2.8284271247461903
1125.0,674.0,42.52,2.8284271247461903
911.0,1073.0,34.76,2.8284271247461903
969.0,1244.0,40.3,2.8284271247461903
1248.0,406.0,34.4,2.8284271247461903
2056.0,405.0,34.28,2.8284271247461903
516.0,679.0,34.44,2.8284271247461903
81.0,763.0,37.2,2.8284271247461903
251.0,560.0,34.24,2.8284271247461903
1382.0,597.0,34.68,2.8284271247461903
1909.0,324.0,34.88,2.8284271247461903
1543.0,346.0,34.36,2.8284271247461903
1594.0,216.0,34.44,2.8284271247461903
703.0,345.0,34.24,2.8284271247461903
88.0,41.0,36.04,2.8284271247461903
1067.0,816.0,33.92,2.8284271247461903
1539.0,1043.0,34.48,2.8284271247461903
688.0,432.0,34.32,2.8284271247461903
701.0,881.0,34.84,2.8284271247461903
21.0,450.0,36.6,2.8284271247461903
1902.0,383.0,39.13776722090261,11.627978179512114
136.0,1048.0,35.88,2.8284271247461903
